skill,salary,openings,targets_training
PMP,25612.8,2094,0
MRI Software,60430.26,3822,1
Photos,71120.04,1340,0
SNMP,68696.87,1270,0
Vegetables,109688.32,1112,0
Whole Life,114777.24,208,1
JSLint,91228.01,3511,1
Slide Preparation,138798.89,4960,0
SketchUp,108637.41,1083,0
TSM Administration,73114.15,6990,1
WebSphere MQ,121935.0,6020,1
Kalman filtering,105468.89,2820,0
PPA,22580.3,5367,1
Mortgage Lending,113650.1,3799,1
DDI Certified,48773.35,6944,1
Ffmpeg,92313.86,443,1
LSL,141059.97,6300,0
Yachting,112334.92,3349,0
Gutters,121210.11,5596,0
Visual SVN,20540.04,885,1
Jetty,93309.48,3429,0
LWUIT,121296.82,6274,0
Part-Time CFO Services,136210.39,6451,0
PDP,45204.6,692,1
Swedish,149873.2,4092,0
ASIC,148423.97,4105,1
RS485,91578.73,1422,1
CFTC,114373.6,1562,0
Aircraft Design,59651.67,6403,1
IPTV,136478.93,4863,1
Diabetes,75081.47,941,0
JBoss Application Server,28040.53,3325,1
QlikView,137885.71,4916,1
Eplan,33933.08,605,0
XRY,40733.06,6240,1
LynxOS,76815.55,1760,1
NLP,29383.96,2911,0
MBCS,118527.77,6363,1
GWT,91171.56,1757,1
Kronos WFC,35774.76,6840,0
IPS,67807.92,2488,0
dsPIC,72780.76,290,1
Vray,41826.84,6466,1
CGI,29927.82,3107,1
JMF,55875.01,3440,0
SBA,121247.23,677,0
HSSE,96565.63,2398,0
Bodywork,60916.56,6755,0
HTA,130108.6,6139,0
JCE,90777.29,6596,0
ATM Networks,146709.54,6121,0
WWAN,40953.54,606,0
Open XML,61697.92,2708,0
Oil &amp; Gas Industry,56309.11,1209,1
JProbe,103371.9,2205,0
Radiology,32126.13,4238,0
ProSystem fx Engagement,92563.25,4922,0
Owner-managed businesses,79931.34,4796,1
SVG,21633.56,6562,1
EOL,121081.93,4169,1
SAP MM Module,66346.34,176,1
UMA,130609.65,4250,0
Jidoka,55586.2,1774,0
Siding,64785.88,4694,0
Portfolio Management,43881.05,1112,1
WSRR,145449.79,6785,1
XSS,85863.01,1192,0
After FX,149379.57,4112,1
JDF,141052.64,5782,0
Restorative Justice,97593.71,3433,1
Bass Guitar,64042.34,5474,0
EMS,134542.28,4426,0
MDSD,83996.38,201,1
Network Administration,92844.54,2265,1
TBMCS,111236.71,3257,0
Variance Analysis,127285.6,1073,1
FTIR,21016.09,6909,0
Rhetorical Analysis,140453.27,2210,1
Roofers,55336.28,172,1
Knowledge Transfer,140932.05,5726,1
MTTR,108861.2,4832,1
CDM,131085.81,1705,1
Umbraco,60567.75,2120,1
FTTH,83778.14,5413,0
Wind Turbines,137149.47,3591,1
Digital Strategy,47583.56,1948,1
XMLBeans,89604.6,1534,1
ION Marketview,77606.48,2351,1
Immunology,83606.59,4518,0
UIKit,51487.18,4859,1
CSPro,123955.52,128,0
SRP,91662.04,5284,1
Zephyr,141931.85,5954,0
KVM Switches,71192.34,4641,0
Forklift Operation,47348.64,6439,1
Cycling,94914.12,533,0
Type Rating,21722.45,4134,0
Key Performance Indicators,82576.59,2834,0
ISO 9000,94296.37,5115,0
Ships,28104.31,303,1
NYMEX,130604.93,5005,1
BPML,57008.67,5490,0
Hmong,127431.59,468,0
Vaccines,61339.46,471,1
Military,68412.8,2241,0
Improvisation,110248.49,431,1
MDX,38919.53,4253,0
Clinical Development,87175.6,307,0
Document Imaging,75034.12,3398,0
Product Development,23911.9,4629,0
SQR,72368.79,6958,0
DCP,56890.53,1912,1
Gw Basic,100357.47,6880,0
KOL Identification,88434.56,5341,0
Oracle BPM,136998.91,1570,1
XRR,55020.13,1450,0
MDS 3.0,141381.82,465,1
DG Sets,87417.84,6138,1
Web 2.0,75967.87,2675,0
European Politics,50298.64,4879,0
JMF,48931.86,3473,1
HP Blade,52365.71,3946,1
Aesthetic Surgery,36814.04,850,1
Process Piping Design,43700.67,1875,0
SQL PL,144883.6,2028,1
GWAPT,62581.48,847,0
Dairy,28622.06,3652,1
Electric Guitar,68147.44,3775,1
NVR,22223.53,1475,1
Veterinary Medicine,55205.66,429,0
Ozone,79008.33,1262,1
ISO 14001,59170.4,4278,0
HSP,39031.24,559,0
FTPS,37474.53,5334,0
Visio,130681.74,6683,1
DNP3,114887.17,2671,0
PMBOK,60589.84,5479,0
MSA,118044.45,2517,1
Guided Imagery,132745.71,6014,0
Obedience,84978.79,6949,1
MSBuild,60477.5,3812,0
Ecotect,122743.17,458,1
qRT-PCR,94058.88,2834,1
Otoplasty,132725.96,4243,1
Screening Resumes,50607.94,5046,1
FX Hedging,127217.57,3242,1
Space Planning,117608.34,4886,0
Emergency Medicine,69805.83,3962,0
Award Ceremonies,67580.97,1809,0
Registered Patent Attorney,88262.77,1207,1
Kaizen Blitz,47280.69,6348,0
EU Funding,31730.56,6415,0
WYSIWYG Layout Tools,96338.24,4176,0
FCoE,84412.58,6249,0
FPSO,126125.26,5126,0
Sweaters,35203.93,5719,0
MPEG2,31179.96,2876,1
Lytec,43939.43,5344,1
DITA XML,34932.22,1481,0
MBD,46570.67,1927,0
VSX,32527.63,41,0
Fixed Assets,108896.33,675,0
.NET,45991.69,176,0
WPF Development,119169.27,5362,1
Radiology,67917.69,1186,0
PFD,35143.86,1976,1
XMPie,37869.41,4680,0
Slackware,46624.73,5443,0
ISO 22000,126838.06,3178,1
LAN-WAN,115481.0,4563,1
Drywall,91789.82,4648,1
Performing Arts,36091.72,3067,1
LLVM,34123.02,793,0
Certified EKG Technician,135253.41,4763,1
E-zines,46919.25,4778,1
PPV,38792.27,2664,1
RCRA,99604.32,6333,0
Windows NT,130181.99,762,0
Electrical Design,146548.67,2341,0
Corporate Communications,70165.62,3330,0
BBx,94293.5,1220,0
Lymphatic Drainage,60648.1,3054,1
FMA,136589.25,3559,0
Billing Systems,110116.65,2705,1
Dunn &amp; Bradstreet,94055.39,1441,0
Web Content,143636.41,844,1
Financial Analysis,34265.39,2493,1
Zotero,135311.6,999,1
Zend Server,112278.78,1344,1
Call Centers,129491.6,5508,0
Black Box Testing,23733.72,2586,1
Digital Signage,74746.75,6108,1
Oil Analysis,104879.49,6875,1
Literature,99263.33,3098,1
Fashion,107802.81,277,1
SAP OM,62391.09,676,1
MPEG2,29218.14,511,1
Military Aviation,27751.99,4442,1
Chemistry,92817.72,4897,1
ProSystem fx Engagement,41513.2,3580,1
Ksh,52260.18,485,1
Swim Instruction,80572.33,421,0
IFS ERP,46119.71,5245,0
Agile Methodologies,138987.28,6248,0
Outpatient Orthopedics,77575.37,1413,0
DC-9,132103.93,1271,0
QAQC,110353.33,6050,0
PL/SQL,112180.27,3470,1
JCO,87785.77,2837,1
NCFM Certified,80650.33,1148,0
CMake,107388.64,3185,1
Statistics,128596.77,4685,0
PDA,109349.9,2195,1
Problem Solving,91710.37,2330,1
HMC,31464.56,650,0
cGLP,130169.46,1056,1
New Media,31432.72,2816,1
KnockoutJS,25008.08,963,0
RWA,33551.95,4014,0
Medication Therapy Management,134373.04,1883,1
NPO,120792.11,4550,0
TBB,27975.27,6496,0
JDE CNC,140323.49,3229,0
EEOC,45825.64,2739,0
Java,47778.28,989,1
Home Health Agencies,82526.59,1962,1
LDPC,79238.11,5443,0
QARun,121035.26,152,0
Strategic Thinking,102726.37,1139,1
Cyber Defense,77473.99,477,1
RSS,53265.54,3632,0
PTF,72581.97,5298,0
Nanoparticles,148758.29,5234,0
MBCS,140997.42,3246,1
Eblasts,95075.16,1805,1
Account Management,138202.88,4737,1
Lloyds,146500.87,171,0
Trials,32088.33,6034,1
GMPLS,95708.02,54,0
Term Life Insurance,66270.92,3430,0
Packaging,79151.45,4253,0
Adult CPR,35279.54,3343,1
EOI,123327.73,3719,0
Wound Care,35017.18,1293,0
VLR,85452.63,475,1
Due Diligence,125027.73,3619,0
TGA,143048.29,3025,0
Operational Due Diligence,42951.47,4395,1
QIP,76219.33,5382,0
VDI,95787.37,6869,1
Yellow Pages,93747.68,6051,0
Educational Outreach,110868.0,3575,1
SDSF,122639.23,2370,0
Omnet++,38308.56,6462,1
MDRs,56184.47,4838,1
DOS,138409.5,5126,0
NCBI,114946.34,2088,1
Business Development,87847.94,2031,1
Cement,58366.41,841,1
Rugs,25566.55,4224,0
IP CCTV,130547.24,2026,0
Occupational Therapists,59375.23,1968,0
xPON,94195.49,1292,0
Utilities Management,28592.96,7,1
MDX,118174.31,3476,0
HR Policy Formulation,111126.53,5066,1
RMP,88204.9,4169,0
Oracle BPM,48583.2,6840,0
Frozen Food,149779.26,5854,1
Small Business Marketing,117536.68,1997,0
WSUS,87318.12,2752,1
ASME,31915.22,1301,1
XML Gateway,21778.85,6629,0
Humanitarian Assistance,114903.72,2913,1
NUnit,39361.63,3972,1
Service Delivery,129389.69,5696,1
GPC,63488.11,6292,0
Earthquake Engineering,68154.92,5168,1
UV/Vis,38439.25,4523,1
BMPs,105650.71,2195,1
MCDST,95855.57,4953,1
cDNA,38804.1,2324,0
ZK,126432.71,372,1
EZ Labor,32819.76,2163,1
SWOT analysis,122424.11,4144,1
PTP,119800.63,6852,0
MCSA Security,102832.04,3388,1
Drip Irrigation,79601.12,3729,1
XPAC,56155.31,1535,1
LS-DYNA,106606.95,734,0
MQX,70561.42,3348,1
Product Life Cycle,121471.61,1911,0
Water Features,114054.12,2784,0
MP2,33422.76,3944,0
Television,47452.6,5848,1
PFI,20744.34,503,0
Policy,48877.76,4936,1
RVs,110552.34,2619,0
DLPAR,103880.0,4461,1
cGMP manufacturing,29703.72,5082,1
Eagle PCB,54780.03,939,1
Simulations,79564.52,4581,0
Organizational Behavior,134433.17,4698,1
Multilingual,68876.84,3276,1
XStream,142453.61,2972,0
global HCM,51823.24,4704,1
Economics,146901.6,4594,0
Automotive,106529.95,2354,0
Business Intelligence,48312.96,5448,1
LaTeX,29793.58,6441,0
Quality Control,64745.48,3173,0
XML Spy,136068.13,4359,0
Aircraft Systems,95280.71,6840,1
IBM Tivoli,32932.66,2972,0
MCSD,43458.45,6377,1
Awk,64078.96,3767,1
Dynamic Positioning,131184.82,4301,1
Drug Development,109233.68,2594,1
Analog Circuit Design,54451.11,478,1
Django,30659.63,2346,0
Payments,64510.25,1587,0
Fixed Income,100296.66,1049,1
CPA,137507.43,1941,1
Climate Change,61223.48,873,0
MPLS Networking,68871.45,3210,1
Guardianship,80171.68,3120,1
Shipbuilding,107089.62,6031,0
UVM,145555.81,6542,0
Zend Framework,23761.73,1583,0
Zachman,143494.99,3655,1
ITIL v3 Foundations Certified,48403.73,359,1
RhinoCAM,114435.75,2234,0
Document Imaging,95499.2,3483,0
Operating Room,139313.99,6493,0
Pyrography,104238.35,3379,1
Routing,46090.95,1105,0
RTP,36355.9,4654,0
FDR,116182.2,2639,0
DMPK,57084.92,2133,1
EH&amp;S Compliance,133426.33,6982,0
GSM,45297.7,4401,0
VHF,117875.88,3168,1
Forecasting,23967.32,3942,1
ILOG,59571.02,4291,0
Digital Electronics,73569.35,872,0
TSM,34692.39,2801,0
Payment by Results,116090.34,1084,0
Epic Systems,93661.92,3366,1
Vocal,66741.88,5302,0
IBS,56007.44,3606,0
Architectural Illustration,52570.56,6634,0
XML Spy,105184.9,4998,1
Radio Production,64387.32,458,0
Kitchen Remodeling,141541.97,3459,0
Historical Research,52730.95,3539,1
Nutrition,112126.9,5841,0
3D Visualization,97791.01,709,1
AQTF compliance,71196.58,3936,1
Automation,93728.59,3167,0
OS/390,121961.05,527,0
Atmel AVR,65920.99,6448,0
CPI,95849.62,1222,1
Juniper Switches,38155.52,4695,1
Electronic Payments,133468.17,2791,0
McKesson STAR,30345.16,6151,1
Acute Care,61476.48,871,0
MCITP,37710.42,1444,1
DVR,48467.34,2251,0
Life Insurance,27217.95,3954,1
Fashion Photography,79666.5,4540,0
MS Axapta,145011.32,3912,1
Piano Education,138898.88,6589,0
CST Microwave Studio,51430.82,481,1
NLP,63326.27,6498,0
Clinical Psychology,72609.07,6180,1
Management Consulting,96822.0,5541,1
SAP XI,63368.4,6429,0
Journalism,122753.62,5190,0
Contemporary Art,92227.39,1876,0
RRDTool,114421.25,2254,0
Apache,88869.45,1224,0
CTI,97833.41,6206,0
Qigong,137353.98,6992,1
Logo Design,121415.72,6435,0
HQL,109706.96,1504,1
Kofax,143219.16,5057,1
Databases,58298.14,2686,0
VTR,135842.9,3946,1
Internet Yellow Pages,26235.91,145,1
MFR,34572.49,3090,1
Nastran,65324.98,721,1
JD Edwards,130558.44,4298,1
Regulatory Affairs,149584.59,1601,0
CVIS,84673.25,109,1
LCS,112622.85,786,0
Active DoD Secret Clearance,110480.7,5486,1
New Homes,53774.64,221,0
YUM,63507.5,6547,1
UAT Coordination,136945.27,1637,0
KWP2000,131410.9,152,0
Private Duty,74154.19,1034,1
ERP Implementations,125458.42,5065,1
HTML Scripting,142667.07,680,1
Foreign Languages,87425.62,2909,1
Book Design,84338.91,2604,0
Economics,36701.49,4722,0
LS9,78122.41,3761,1
Technical Recruiting,69398.36,4856,1
Nintex,92802.72,1270,0
MBCS,99645.27,5694,0
EEPROM,50801.98,118,0
Ethnography,28993.74,1799,1
RTF,133660.79,2335,1
Slate,121674.59,1296,0
HTML Help Workshop,46002.97,4815,0
Hyperion EPM,45261.5,271,0
MPBGP,130722.98,4349,0
FX Animation,91608.05,5074,1
Counseling Psychology,120120.53,3304,0
Petroleum Geology,139274.34,4371,0
Guided Imagery,130526.02,410,1
QSAR,20570.55,1031,1
Mortgage Underwriting,68048.95,1129,0
NLB,139315.67,3550,1
EOL,130438.34,4662,1
Kanban,73681.91,2635,1
Start-ups,111719.8,4289,0
Japanese to English,37181.73,2084,0
MDS,92688.68,805,0
Supplier Evaluation,44901.32,5309,0
Angel LMS,34697.09,2530,0
LWUIT,72809.72,2586,1
RSVP-TE,84639.01,3786,1
Creative Non-fiction,36373.86,935,1
CPL,75603.52,2439,0
qRT-PCR,148964.2,364,0
Doors,75327.42,3625,0
Photography,148390.92,2278,1
User Scenarios,117084.81,3184,0
APO SNP,135066.75,2473,1
uCOS,92756.16,6385,1
CNS disorders,114864.2,6148,0
Digital Video,25623.34,4745,1
Google Adwords,82499.86,6767,0
MDOP,91190.16,3408,0
BS7799,25904.24,301,1
Urban Studies,76510.06,5553,0
Old English,47695.13,2314,0
Visual SVN,85602.04,1142,0
CAESAR II,139017.96,2703,0
Allergy,88398.83,2319,1
Subcontracting,41874.66,6602,0
Rollout,24283.51,4862,0
BD+C,105179.49,4256,0
Document Imaging,93691.53,2928,1
Nursing Education,67460.44,5472,1
SCADA,105372.6,6854,0
Online Gambling,37857.85,6777,1
SDH,136903.77,4803,0
Keil,74933.08,4331,0
SBRT,76811.64,6935,0
CQI,78587.8,2759,1
iFix,48964.22,2614,0
Mobile Devices,149234.14,1289,1
Part-Time CFO Services,56224.46,3686,1
Xdebug,88508.84,2542,0
IMS DB/DC,126668.02,380,0
CDS,127457.77,1639,1
BS7799,24475.26,5810,0
EBA,98800.72,3718,0
Hiring,128356.35,5279,1
Knee Surgery,47645.84,6554,1
Childcare,79862.73,1050,1
IXIA,84630.4,2416,1
JCL,56511.39,3342,1
IVDD,41432.41,677,1
Zendesk,126792.32,3062,1
QLab,62428.22,4591,0
NMock,58914.52,4187,1
Location Intelligence,89309.98,3619,0
Xbox One,73797.06,2796,0
Food &amp; Beverage,42973.54,5277,1
Talent Booking,48350.15,6043,0
FCAPS,137580.84,4213,0
FME,66618.66,5571,0
FF&amp;E,74645.67,539,0
Sanction II,66435.69,4622,1
LaTeX,50383.67,5172,0
International HR,84920.25,1196,1
Economic Modeling,55253.84,901,0
Be Your Own Boss,128793.23,4033,1
Web Analytics,37614.17,1371,1
WTT,136681.87,6903,1
HP Proliant,86389.05,4232,0
MVNE,43751.12,961,1
zSeries,115503.5,4870,1
Tds,91458.89,6819,1
JCreator,45877.43,6405,1
MMS,102250.08,6211,1
Hydraulic Fracturing,20800.83,1126,1
Servers,48667.69,100,0
TTCN-3,84302.05,6887,1
NDE,63427.8,5167,0
Special Events Coordination,85979.85,5143,1
Employee Management,142765.33,638,1
FF&amp;E Specifications,36081.92,2618,1
FSMS,22327.73,1691,1
IBM Servers,50261.44,5977,0
LCS,91412.65,3331,0
HDI Support Center Analyst,36918.74,2808,1
GTK+,133382.3,2599,1
Program Development,135141.96,1842,1
IOT,72574.57,6511,0
PowerPoint,128105.18,1320,0
InfoComm CTS,24026.31,3618,1
Interest Rate Derivatives,116823.62,35,1
Umbrella Insurance,146578.01,688,1
FTO,127185.15,3618,0
Audio Engineering,115108.02,2007,1
NWDS,120469.08,3417,1
MV,41754.44,6858,0
Job Fairs,126758.37,6071,0
JTest,66807.78,2321,1
Sickness Absence Management,64841.21,1379,0
nVision,109371.13,5463,0
Automation,106578.97,714,0
Security Awareness,74804.62,5011,1
NRA,41143.5,560,0
IT Management,66329.9,5010,1
Environmental Policy,135898.03,3656,1
Aquatint,130820.51,2392,0
DBs,121712.58,1790,0
Equity Research,68896.56,1836,1
Natural Language Processing,71347.43,3982,0
IIS,138676.24,6088,0
HNW,68363.97,1953,0
VHDL,134641.98,5518,0
Corporate Branding,147951.43,5031,1
Swing,136276.8,6469,0
Lua,135484.19,5475,0
Hyperion HFM,35179.04,1400,1
Information Security Awareness,25554.65,5803,0
FP7,71783.21,3706,0
Test Automation,94640.54,4445,1
Cell Biology,48400.28,997,1
SnapMirror,79136.29,2998,0
TPF,136160.53,3462,1
Guardianship,83956.69,929,1
Footwear,21677.19,3195,0
Hypermesh,47994.32,2701,1
Tourism,60208.27,3529,1
SDTM,128925.9,799,1
Zebrafish,26413.14,5306,0
Rugby,63919.32,3198,0
OmniPage,83008.22,5859,0
Zumba,50772.75,1831,0
FDICIA,85637.01,2527,1
DTS,111741.71,5823,0
LPC,70464.74,4901,1
Computer Graphics,115857.74,3245,1
IAR Embedded Workbench,104024.75,6450,0
Design for Manufacturing,21207.66,942,0
Business Strategy,96082.81,5784,0
Long Distance Running,70820.7,6577,0
NLTK,122484.43,3610,0
Hydrography,70643.77,2803,1
SAP BW,31341.27,2052,1
WS-I,121799.28,1937,0
GDAL,138367.74,1548,1
RHEV,22864.13,6187,0
Euthanasia,103339.14,4720,0
VLSI,130341.09,3021,1
Lung,77492.21,5801,1
GSI,30193.13,5789,0
Quality Assurance,25543.81,2238,0
Lyris,89109.26,2967,1
VO,82818.4,4616,1
JIS,102979.91,3509,1
Jets,108760.22,384,0
SQL,35755.53,5582,1
Executive Search,148327.81,3979,1
Microsoft Technologies,135444.29,4484,1
Automobile,140219.7,6484,0
High Availability Clustering,140467.13,5484,1
XSD,67739.71,3546,0
CDISC,46573.02,5850,1
MSC Adams,44469.78,1893,1
Mutual Funds,132545.92,1031,0
AQTESOLV,48252.14,5689,0
AQTF compliance,66557.98,6667,1
Ignatian Spirituality,35433.11,62,0
Automation,118711.7,5935,0
GLP,72060.64,4865,0
SNP genotyping,131063.78,6658,1
HSUPA,34197.31,794,0
Ultipro,28317.93,2879,1
UHF,143684.38,1263,1
ABS,102932.85,1479,1
Human Capital Management,78561.15,6945,0
Security Audits,71591.72,6731,0
Personnel Management,95675.2,5058,0
MCEV,73105.9,6608,1
Photos,73005.37,6865,1
American Politics,92375.75,4407,0
DTI,27580.31,3765,0
Oxy-acetylene,103265.18,231,0
RSA enVision,73297.98,981,1
JNCIP,99233.04,6427,1
Efficent,51915.12,5483,0
Urban Economics,26272.3,2579,0
UPS Shipping,97096.18,1274,0
IDX,94171.74,1540,1
BCNE,138412.56,186,1
VCI,131157.31,593,1
Eclipse RCP,123267.12,1217,1
DBT,35575.79,6015,1
RCP,84902.69,1207,1
MS Axapta,62704.47,2062,1
Dysarthria,53312.62,1890,1
Ektron,36015.2,3498,0
Valuation,111435.13,4283,1
Oil Sands,137563.81,1126,0
GSA Contracting,56241.62,6593,1
Spectroscopy,71348.95,2783,0
Organizational Effectiveness,124335.59,1475,0
RTU,147278.34,3488,0
GSLC,133913.66,1398,1
JDA,75528.24,5722,1
McData,91368.98,5131,0
Auditing,67374.04,2681,1
Employee Handbooks,32021.39,6288,0
Zoom,70151.81,2787,1
Oxygen Therapy,64023.26,5845,1
DWBI,94388.39,2898,1
Ableton Live,121408.5,4752,0
VMware Fusion,90873.5,4246,1
WordPress,103643.0,2822,1
Cashiering,134442.99,183,1
QIP,121193.15,601,0
RHCE,115353.84,3672,0
DTT,54116.34,5607,1
GPRS,37093.54,3442,0
HCCP,94759.91,297,1
MMC,76698.72,1900,0
Fences,29905.41,2720,1
LTD,34875.7,3480,0
MBAL,98819.72,932,0
Background Checks,68998.7,2089,0
Immunology,75970.19,4840,1
VTR,62964.39,388,0
Prototype.js,147514.84,999,1
AQL,108960.52,1773,1
Irrigation,39990.2,47,0
Psychosocial,148896.1,6518,0
Swift,117518.59,3869,1
Sales Effectiveness,68468.87,5797,0
Vray,22988.47,1158,0
GFAS,142374.1,4798,1
Kinesiology,41870.98,6606,1
EH&amp;S Compliance,22878.83,5127,1
Kurzweil,103290.78,798,0
NCIC,148979.91,5969,0
Transportation Management,20711.63,5837,1
BPL,140067.28,2103,0
FDCPA,58552.06,6922,0
DS3,55847.12,1710,0
FCE,61689.88,4016,0
KPI Dashboards,102277.54,4948,0
Employer Branding,121914.49,4402,1
TJC,100058.93,6349,1
LN,26582.55,1040,1
MyBatis,131113.16,97,0
Atmel AVR,37739.89,2815,0
Notary Public,142902.73,3960,0
Open XML,110925.84,230,0
Multi-channel Retail,40164.99,2190,1
FHA,104553.59,2608,0
Blue Ocean Strategy,80118.69,4904,0
First Time Home Buyers,48210.3,6263,0
Job Scheduling,131123.4,6277,0
Oasys,51792.82,3998,0
Microcontrollers,101091.73,2870,1
NICET,83218.96,6255,1
AASHTO,140096.93,4291,0
HDI,136324.1,1874,1
Workshop Facilitation,133441.58,3269,1
CTR,131989.29,710,1
Quality System,130269.31,4606,1
Screening Resumes,43295.19,51,0
LTE,125133.85,2642,0
Gift Tax,118689.26,3604,1
IDoc,138738.43,2751,0
European Politics,113199.67,4306,1
Database Administration,40308.02,6773,0
MD5,67103.85,6201,0
Educational Technology,112203.98,5730,1
Situational Awareness,58207.15,3203,0
LTACH,74704.06,1569,1
Cycle Time Reduction,103307.8,1806,0
Immigration Law,28972.63,170,1
Maritime Operations,20171.21,1847,1
KPI Dashboards,123550.45,4094,1
DDTS,117678.62,6614,1
NYISO,122536.13,3619,0
Gel Electrophoresis,58202.44,6835,0
MHP,75885.53,4987,0
Ozone,128925.25,2189,1
Abstract Paintings,41452.35,67,1
UTP,121359.53,3987,1
Press Releases,146940.79,1078,1
RSView,45419.7,389,0
Kinesio Taping,65478.98,536,0
VMD,32994.44,1206,0
Fashion Photography,80112.06,2910,1
iLife,50202.92,4389,0
DVD Studio Pro,28051.72,2826,0
IT Transformation,95985.89,3995,0
Online Journalism,149411.36,3769,0
DMS-100,32079.81,2272,0
Tourism Management,52930.53,1748,1
MLSS,125954.56,579,1
Kronos WFC,80072.09,5800,1
Early Childhood Literacy,58407.03,1782,1
QRadar,107794.31,1606,0
Nanomaterials,109144.16,4056,0
Typo3,25143.1,4187,1
Engineering,21408.25,5295,1
CCNP Security,147304.8,2509,1
Aspen HYSYS,82651.21,2658,1
Information Architecture,149918.05,6316,0
OSPF,44225.04,3763,1
European Affairs,38214.79,5578,0
MW,35911.36,4121,0
Ion,50275.59,6456,1
RCCA,119061.36,1281,1
Xerox Printers,114645.87,2770,1
CPP,76197.14,892,1
CGL,41021.51,6174,0
Eclipse RCP,33947.79,4700,1
EPM,93906.68,4554,1
Electricity,98849.11,3929,1
FTTH,25911.2,2342,0
FTSE 100,96279.95,3067,0
BTS Installation,48310.58,6297,1
Welding,36597.86,5300,0
AHDL,33609.86,5508,1
Layout,147559.51,4986,0
IT Infrastructure Management,142427.17,1714,1
UV disinfection,110834.58,874,0
IGRT,57392.17,553,0
Biblical Studies,54481.09,705,1
Posters,91947.86,902,1
Doors,87217.82,2252,0
Voice Over,121154.1,3320,1
On-Set VFX Supervision,28591.72,1756,1
E-zines,24405.14,6585,0
Office Equipment,68540.34,6266,0
VSE,23683.54,5618,0
Revenue Analysis,134216.15,3227,0
Natural Gas,42187.93,1863,0
NTFS,61394.1,4897,1
VLC,68196.78,3698,0
Real Estate Due Diligence,32164.57,1735,0
RoboHelp,106735.89,1911,1
Aerial Photography,140488.04,4564,0
DDA compliance,33564.72,5274,1
Childhood Obesity,26571.7,6223,0
Winning Others Over,99664.84,2196,1
